Abbyville|ABBRN|7.500%|6.500%|1.000%|0.000%|0.000%
Abilene|ABIDK|9.350%|6.500%|1.750%|1.100%|0.000%
Abilene Family Dollar CID |ABIC4|11.350%|6.500%|1.750%|1.100%|2.000%
Abilene Holiday Inn Express CID|ABIC3|11.350%|6.500%|1.750%|1.100%|2.000%
Abilene Legacy Kansas CID|ABIC5|11.350%|6.500%|1.750%|1.100%|2.000%
Abilene Property 6 CID|ABIC1|11.350%|6.500%|1.750%|1.100%|2.000%
Abilene Roserock Holdings CID|ABIC2|11.350%|6.500%|1.750%|1.100%|2.000%
Admire|ADMLY|7.500%|6.500%|1.000%|0.000%|0.000%
Agenda|AGERP|8.500%|6.500%|2.000%|0.000%|0.000%
Agra|AGRPL|7.000%|6.500%|0.500%|0.000%|0.000%
Albert|ALBBT|7.500%|6.500%|1.000%|0.000%|0.000%
Alden|ALDRC|8.500%|6.500%|1.000%|1.000%|0.000%
Alexander|ALERH|6.500%|6.500%|0.000%|0.000%|0.000%
Allen|ALLLY|7.500%|6.500%|1.000%|0.000%|0.000%
Allen County|ALLCO|7.750%|6.500%|1.250%|0.000%|0.000%
Alma|ALMWB|9.000%|6.500%|1.500%|1.000%|0.000%
Almena|ALMNT|8.750%|6.500%|1.750%|0.500%|0.000%
Alta Vista|ALTWB|8.000%|6.500%|1.500%|0.000%|0.000%
Altamont|ALTLB|9.250%|6.500%|1.250%|1.500%|0.000%
Alton|ALTOB|8.000%|6.500%|1.500%|0.000%|0.000%
Altoona|ALTWL|7.500%|6.500%|1.000%|0.000%|0.000%
Americus|AMELY|8.500%|6.500%|1.000%|1.000%|0.000%
Andale|ANDSG|7.500%|6.500%|1.000%|0.000%|0.000%
Anderson County|ANDCO|7.500%|6.500%|1.000%|0.000%|0.000%
Andover|ANDBU|8.500%|6.500%|0.000%|2.000%|0.000%
Andover Red Bud Trail CID|ANDC1|10.500%|6.500%|0.000%|2.000%|2.000%
Andover Heritage CID|ANDC2|10.500%|6.500%|0.000%|2.000%|2.000%
Anthony|ANTHP|7.000%|6.500%|0.000%|0.500%|0.000%
Arcadia|ARCCR|7.500%|6.500%|1.000%|0.000%|0.000%
Argonia|ARGSU|8.500%|6.500%|1.000%|1.000%|0.000%
Arkansas City|ARKCL|8.500%|6.500%|0.000%|2.000%|0.000%
Arkansas City Summit Plaza CID|ARKC1|9.500%|6.500%|0.000%|2.000%|1.000%
Arlington|ARLRN|8.500%|6.500%|1.000%|1.000%|0.000%
Arma|ARMCR|8.500%|6.500%|1.000%|1.000%|0.000%
Ashland|ASHCA|7.500%|6.500%|0.000%|1.000%|0.000%
Assaria|ASSSA|8.000%|6.500%|1.500%|0.000%|0.000%
Atchison|ATCAT|8.500%|6.500%|1.000%|1.000%|0.000%
Atchison AE Museum/Farmers Market STAR Bond|ATCAE|8.500%|6.500%|1.000%|1.000%|0.000%
Atchison B&M Freight Depot CID |ATCC3|10.500%|6.500%|1.000%|1.000%|2.000%
Atchison County|ATCCO|7.500%|6.500%|1.000%|0.000%|0.000%
Atchison Fox Theatre CID|ATCC2|10.500%|6.500%|1.000%|1.000%|2.000%
Atchison Taco Bell CID and STAR Bond|ATCC1|9.500%|6.500%|1.000%|1.000%|1.000%
Athol|ATHSM|8.500%|6.500%|2.000%|0.000%|0.000%
Atlanta|ATLCL|6.500%|6.500%|0.000%|0.000%|0.000%
Attica|ATTHP|8.500%|6.500%|0.000%|2.000%|0.000%
Atwood|ATWRA|8.500%|6.500%|2.000%|0.000%|0.000%
Auburn|AUBSN|9.350%|6.500%|1.350%|1.500%|0.000%
Augusta|AUGBU|8.500%|6.500%|0.000%|2.000%|0.000%
Augusta Comfort Inn CID|AUGC1|10.500%|6.500%|0.000%|2.000%|2.000%
Augusta Holiday Bowl CID |AUGC3|10.500%|6.500%|0.000%|2.000%|2.000%
Augusta Sugar Shane's Café CID|AUGC2|10.500%|6.500%|0.000%|2.000%|2.000%
Aurora|AURCD|7.500%|6.500%|1.000%|0.000%|0.000%
Axtell|AXTMS|8.000%|6.500%|0.500%|1.000%|0.000%
Baldwin City|BALDG|9.250%|6.500%|1.250%|1.500%|0.000%
Barber County|BABCO|7.500%|6.500%|1.000%|0.000%|0.000%
Barnard|BARLC|7.500%|6.500%|1.000%|0.000%|0.000%
Barnes|BARWS|7.500%|6.500%|1.000%|0.000%|0.000%
Bartlett|BARLB|7.750%|6.500%|1.250%|0.000%|0.000%
Barton County|BATCO|7.500%|6.500%|1.000%|0.000%|0.000%
Basehor|BASLV|9.000%|6.500%|1.000%|1.500%|0.000%
Basehor One58 Plaza CID|BASC1|10.500%|6.500%|1.000%|1.500%|1.500%
Basehor Wolf Creek Junction TDD|BASTD|9.750%|6.500%|1.000%|1.500%|0.750%
Bassett|BASAL|7.750%|6.500%|1.250%|0.000%|0.000%
Baxter Springs|BAXCK|10.000%|6.500%|1.500%|2.000%|0.000%
Bazine|BAZNS|6.500%|6.500%|0.000%|0.000%|0.000%
Beattie|BEAMS|7.000%|6.500%|0.500%|0.000%|0.000%
Bel Aire|BELSG|7.500%|6.500%|1.000%|0.000%|0.000%
Belle Plaine|BELSU|8.500%|6.500%|1.000%|1.000%|0.000%
Belleville|BELRP|9.000%|6.500%|2.000%|0.500%|0.000%
Beloit|BELMC|8.500%|6.500%|1.000%|1.000%|0.000%
Belpre|BELED|7.875%|6.500%|1.375%|0.000%|0.000%
Belvue|BELPT|7.500%|6.500%|1.000%|0.000%|0.000%
Benedict|BENWL|7.500%|6.500%|1.000%|0.000%|0.000%
Bennington|BENOT|8.500%|6.500%|1.000%|1.000%|0.000%
Bentley|BENSG|7.500%|6.500%|1.000%|0.000%|0.000%
Benton|BENBU|8.500%|6.500%|0.000%|2.000%|0.000%
Bern|BERNM|8.000%|6.500%|1.500%|0.000%|0.000%
Beverly|BEVLC|8.500%|6.500%|1.000%|1.000%|0.000%
Bird City|BIRCN|8.500%|6.500%|2.000%|0.000%|0.000%
Bison|BISRH|6.500%|6.500%|0.000%|0.000%|0.000%
Blue Mound|BLULN|7.500%|6.500%|1.000%|0.000%|0.000%
Blue Rapids|BLUMS|9.000%|6.500%|0.500%|2.000%|0.000%
Bluff City|BLUHP|6.500%|6.500%|0.000%|0.000%|0.000%
Bogue|BOGGH|7.500%|6.500%|1.000%|0.000%|0.000%
Bonner Springs (Johnson County)|BONJO|9.725%|6.500%|1.475%|1.750%|0.000%
Bonner Springs (Leavenworth County)|BONLV|9.250%|6.500%|1.000%|1.750%|0.000%
Bonner Springs (Wyandotte County)|BONWY|9.250%|6.500%|1.000%|1.750%|0.000%
Bonner Springs Center CID|BONC1|10.250%|6.500%|1.000%|1.750%|1.000%
Bourbon County|BOUCO|8.150%|6.500%|1.650%|0.000%|0.000%
Brewster|BRETH|8.250%|6.500%|1.750%|0.000%|0.000%
Bronson|BROBB|9.150%|6.500%|1.650%|1.000%|0.000%
Brookville|BROSA|8.000%|6.500%|1.500%|0.000%|0.000%
Brown County|BROCO|7.500%|6.500%|1.000%|0.000%|0.000%
Brownell|BRONS|6.500%|6.500%|0.000%|0.000%|0.000%
Bucklin|BUCFO|8.500%|6.500%|1.000%|1.000%|0.000%
Buffalo|BUFWL|7.500%|6.500%|1.000%|0.000%|0.000%
Buhler|BUHRN|8.500%|6.500%|1.000%|1.000%|0.000%
Bunker Hill|BUNRS|8.500%|6.500%|2.000%|0.000%|0.000%
Burden|BURCL|7.500%|6.500%|0.000%|1.000%|0.000%
Burdett|BURPN|8.500%|6.500%|2.000%|0.000%|0.000%
Burlingame|BUROS|9.500%|6.500%|1.500%|1.500%|0.000%
Burlington|BURCF|8.500%|6.500%|0.000%|2.000%|0.000%
Burns|BURMN|7.500%|6.500%|1.000%|0.000%|0.000%
Burr Oak|BURJW|7.500%|6.500%|1.000%|0.000%|0.000%
Burrton|BURHV|9.500%|6.500%|2.000%|1.000%|0.000%
Bushong|BUSLY|7.500%|6.500%|1.000%|0.000%|0.000%
Bushton|BUSRC|7.500%|6.500%|1.000%|0.000%|0.000%
Butler County|BUTCO|6.500%|6.500%|0.000%|0.000%|0.000%
Byers|BYEPR|8.250%|6.500%|1.750%|0.000%|0.000%
Caldwell|CALSU|8.500%|6.500%|1.000%|1.000%|0.000%
Cambridge|CAMCL|6.500%|6.500%|0.000%|0.000%|0.000%
Caney|CANMG|9.500%|6.500%|0.000%|3.000%|0.000%
Canton|CANMP|9.500%|6.500%|2.000%|1.000%|0.000%
Carbondale|CAROS|10.000%|6.500%|1.500%|2.000%|0.000%
Carlton|CARDK|8.250%|6.500%|1.750%|0.000%|0.000%
Cassoday|CASBU|6.500%|6.500%|0.000%|0.000%|0.000%
Cawker City|CAWMC|8.500%|6.500%|1.000%|1.000%|0.000%
Cedar|CEDSM|8.500%|6.500%|2.000%|0.000%|0.000%
Cedar Point|CEDCS|7.500%|6.500%|1.000%|0.000%|0.000%
Cedar Vale|CEDCQ|8.500%|6.500%|1.000%|1.000%|0.000%
Centralia|CENNM|8.000%|6.500%|1.500%|0.000%|0.000%
Chanute|CHANO|9.500%|6.500%|1.750%|1.250%|0.000%
Chanute Love's Travel Stop CID|CHAC2|11.500%|6.500%|1.750%|1.250%|2.000%
Chanute Santa Fe Ave CID|CHAC1|10.500%|6.500%|1.750%|1.250%|1.000%
Chanute Square CID|CHAC3|10.500%|6.500%|1.750%|1.250%|1.000%
Chapman|CHADK|9.250%|6.500%|1.750%|1.000%|0.000%
Chase|CHARC|8.000%|6.500%|1.000%|0.500%|0.000%
Chase County|CHSCO|7.500%|6.500%|1.000%|0.000%|0.000%
Chautauqua|CHACQ|7.500%|6.500%|1.000%|0.000%|0.000%
Chautauqua County|CHQCO|7.500%|6.500%|1.000%|0.000%|0.000%
Cheney|CHESG|7.500%|6.500%|1.000%|0.000%|0.000%
Cherokee (Cherokee County)|CHECK|9.500%|6.500%|1.500%|1.500%|0.000%
Cherokee (Crawford County)|CHECR|9.000%|6.500%|1.000%|1.500%|0.000%
Cherokee County|CHKCO|8.000%|6.500%|1.500%|0.000%|0.000%
Cherryvale|CHEMG|9.500%|6.500%|0.000%|3.000%|0.000%
Chetopa|CHELB|9.250%|6.500%|1.250%|1.500%|0.000%
Cheyenne County|CHYCO|8.500%|6.500%|2.000%|0.000%|0.000%
Cimarron|CIMGY|8.750%|6.500%|1.000%|1.250%|0.000%
Circleville|CIRJA|8.150%|6.500%|1.650%|0.000%|0.000%
Claflin|CLABT|8.250%|6.500%|1.000%|0.750%|0.000%
Clark County|CLACO|6.500%|6.500%|0.000%|0.000%|0.000%
Clay Center|CLACY|9.500%|6.500%|1.000%|2.000%|0.000%
Clay County|CLYCO|7.500%|6.500%|1.000%|0.000%|0.000%
Clayton (Decatur County) |CLADC|7.500%|6.500%|1.000%|0.000%|0.000%
Clayton (Norton County)|CLANT|8.250%|6.500%|1.750%|0.000%|0.000%
Clearwater|CLESG|8.500%|6.500%|1.000%|1.000%|0.000%
Clifton (Clay County)|CLICY|8.500%|6.500%|1.000%|1.000%|0.000%
Clifton (Washington County) |CLIWS|8.500%|6.500%|1.000%|1.000%|0.000%
Climax|CLIGW|7.500%|6.500%|1.000%|0.000%|0.000%
Cloud County|CLOCO|7.500%|6.500%|1.000%|0.000%|0.000%
Clyde|CLYCD|7.500%|6.500%|1.000%|0.000%|0.000%
Coats|COAPR|8.250%|6.500%|1.750%|0.000%|0.000%
Coffey County|COFCO|6.500%|6.500%|0.000%|0.000%|0.000%
Coffeyville|COFMG|9.500%|6.500%|0.000%|3.000%|0.000%
Coffey County Beto Junction CID |COYC1|8.500%|6.500%|0.000%|0.000%|2.000%
Coffeyville Holiday Inn CID|COFC1|11.500%|6.500%|0.000%|3.000%|2.000%
Coffeyville Plaza CID|COFC2|10.500%|6.500%|0.000%|3.000%|1.000%
Colby|COLTH|9.000%|6.500%|1.750%|0.750%|0.000%
Colby Arena CID|COLC2|11.000%|6.500%|1.750%|0.750%|2.000%
Colby 24/7 Triplett CID|COLC1|11.000%|6.500%|1.750%|0.750%|2.000%
Coldwater|COLCM|8.500%|6.500%|0.000%|2.000%|0.000%
Collyer|COLTR|8.500%|6.500%|1.000%|1.000%|0.000%
Colony|COLAN|8.000%|6.500%|1.000%|0.500%|0.000%
Columbus|COLCK|9.000%|6.500%|1.500%|1.000%|0.000%
Colwich|COLSG|7.500%|6.500%|1.000%|0.000%|0.000%
Comanche County|COMCO|6.500%|6.500%|0.000%|0.000%|0.000%
Concordia|CONCD|8.500%|6.500%|1.000%|1.000%|0.000%
Conway Springs|CONSU|10.500%|6.500%|1.000%|3.000%|0.000%
Coolidge|COLHM|8.000%|6.500%|1.500%|0.000%|0.000%
Copeland|COPGY|7.500%|6.500%|1.000%|0.000%|0.000%
Corning|CORNM|8.000%|6.500%|1.500%|0.000%|0.000%
Cottonwood Falls|COTCS|8.500%|6.500%|1.000%|1.000%|0.000%
Council Grove|COUMR|9.200%|6.500%|1.000%|1.700%|0.000%
Courtland|COURP|8.500%|6.500%|2.000%|0.000%|0.000%
Cowley County|COWCO|6.500%|6.500%|0.000%|0.000%|0.000%
Coyville|COYWL|7.500%|6.500%|1.000%|0.000%|0.000%
Crawford County|CRACO|7.500%|6.500%|1.000%|0.000%|0.000%
Cuba|CUBRP|8.500%|6.500%|2.000%|0.000%|0.000%
Cullison|CULPR|8.250%|6.500%|1.750%|0.000%|0.000%
Culver|CULOT|7.500%|6.500%|1.000%|0.000%|0.000%
Cunningham|CUNKM|9.000%|6.500%|1.500%|1.000%|0.000%
Cunningham CID|CUNC1|11.000%|6.500%|1.500%|1.000%|2.000%
Damar|DAMRO|7.000%|6.500%|0.500%|0.000%|0.000%
Danville|DANHP|7.500%|6.500%|0.000%|1.000%|0.000%
Dearing|DEAMG|8.500%|6.500%|0.000%|2.000%|0.000%
Decatur County|DECCO|7.500%|6.500%|1.000%|0.000%|0.000%
Deerfield|DEEKE|8.500%|6.500%|1.000%|1.000%|0.000%
Delia|DELJA|8.150%|6.500%|1.650%|0.000%|0.000%
Delphos|DELOT|8.500%|6.500%|1.000%|1.000%|0.000%
Denison|DENJA|8.150%|6.500%|1.650%|0.000%|0.000%
Denton|DENDP|8.500%|6.500%|2.000%|0.000%|0.000%
Derby|DERSG|8.500%|6.500%|1.000%|1.000%|0.000%
Derby Field Station 2 STAR Bond|DERF2|8.500%|6.500%|1.000%|1.000%|0.000%
